id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
104	0	0.094		0.1			0									0.06				0.041	
105	0.08	0.1	0.08	0.08	0.1	0.06	0.14	0.032	0.162	0.028											
106												0.05	0.05	0.05	0.06	0.06	0.06	0.06	0.06	0.06	
107							0.01				0.02			0.02	0.02	0.02	0.02	0.02	0.02	0.02	
108		0.1						0.084						0.036	0.097		0.037		0.273	0.225	
109	0	0.05	0.08	0.1	0.06	0.06	0.07	0.062	0.07	0.05	0.05		0.02	0.03	0.05	0.15	0.5	0.3	0.5	0.15	
110																					
111			0.05	0.2		0.2	0.2	0.3	0.45	0.1	0.3	0.5	0.3	0.25	0.25	0.15	0.1	0.1	0.15	0.15	
112																		0.045	0.068	0.07	
113	0.1	0.1	0.1	0.1	0.1	0.1	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.1	0.1	0.050028	0.05	
114			0.05	0.05	0.1						0.03	0.05	0.06	0.04	0.05	0.03	0.03	0.06	0.03	0.03	
115	0.1										0.06				0.1	0.05		0.05	0.015		
116		0.1			0.1				0.1	0.05	0.15	0.1	0.05	0.05		0.05	0.05	0.05	0.05	0.05	
117												0.3	0.52	0.38				0.1	0.1		
118	0	0.05	0.07															0.06	0.13	0.13	
119	0.14	0.1	0.2	0.32	0.45	0.35	0.15	0.1	0.1	0.3	0.2	0.1	0.16	0.45	0.5	0.5	0.6	0.8	1.5	2.000125	
120	0	0.2								0.1	0.07	0.1	0.1	0.1	0.3	0.2	0.19984	0.199863	0.05	0.050187	
121	0.35	0.38	0.4	0.42	0.46	0.48	0.49	0.5	0.585	0.22	0.22	0.25	0.25	0.31	0.16	0.22	0.0125	0.42	0.329	0.156	
122																0	0.03	0.03	0.05		
123																		0.5	0.05	0.05	
124		0.1					0						0.012	0.02	0.05		0.045	0.055			
125				0.1		0.05				0.1		0.05		0.05		0.05		0.05	0.05	0.02	
126				0.1	0.15	0.15	0.15	0.3	0.3	0.3	0.49	0.79	0.86	0.7	0.79	0.97	1.03	0.61	0.32	0.04	
127		0.1	0.15	0.1	0.1	0.1	0.15	0.2	0.1	0.1			0.1			0.1			0.1		
128										0.06	0.05	0.03	0.03	0.14	0.1	0.03	0.04	0.02	0.1	0.1	
129	0.1							0		0.05				0.05	0.05	0.1	0.025		0.063	0.097	
130		0				0.1	0.06	0.09	0.4	0.1			0.02			0.01			0.01		
131																0.06	0.04	0.026	0.032	0.035	
132	0	0.3																			
133									0		0.1	0.078				0.021		0			
134		0.18266	0.4	0.2	0.2	0.1	0.05	0.2	0.12	0.1	0.1	0.3	0.3	0.24	0.1	0.3	0.25	0.1	0.2	0.2	
135														0.047979	0.1	0.03	0.005	0.014	0.01	0.07	
136																					
137				0.1	0.1	0.1		0.1		0.06	0.1	0.05		0.05	0.03	0.03		0.022	0.01		
138									0.1			0.1		0.05	0.05	0.05	0.01	0.05	0.02	0.013	
139													0.1	0.05	0.05	0.03	0	0.15	0.1		
140	0.46			0		0.04	0.04	0.35	0.56	0.65	0.75	1	1.4	1.8	1.25	0.8	0.8	0.96	1.25	1.55	
141							0.05	0.075	0.075				0.02	0.025	0.015	0.02	0.023	0.03	0.03	0.025	
142											0.05		0.06	0.06			0.03	0.03			
143								0.05	0.05								0.05				
144													0.04					0.1		0.06	
145		0.07																			
146		0.2	0.2	0.2	0.2	0.1	0.4	0.06	0.153	0.162	0.15	0.435	0.3	0.3	0.3	0.4	0.5	0.6	1.2	1.2	
147		0.05													0.517322	0.072	0.062	0.139	0.115	0.11421	
148										0.1			0.1		0.8				0.02	0.02	
149																					
150						0.03															
151	0.316														0.06			0.15			
152	0.15						0.15		0.15	0.1	0.25	0.05	0.06	0.06	0.03	0.04					
153	0.08													0.2							
154													0				0				
155																					
156	0.29	0.3	0.2	0.1							0.35	0.35	0.45	0.5	0.35	0.2	0.1	0.6	1	1.5	
157									0.07	0.1	0.12										
158		0.24	0.15	0		0								0.01	0.01	0.01	0.01	0.02	0.02	0.010086	
159													0.48					0.5			
160	0.32							0.011		0.011					0.02						
161		0.02	0.1	0.1	0.1	0.06	0.02											0.022	0.015	0.011	
162	0	0.05									0.06			0.04	0.03				0.03		
163		0.15	0.02		0.1				0.025												
164		0.08	0.04	0.06	0.02	0.08	0.02	0.00851	0.025			0.02		0.02	0.03			0.02		0.023	
165									0												
166	0.1	0.1		0.2	0.1			0.2	0.44	0.08	0.14								0.05		
167																					
168		0.08		0.05													0.1	0.04	0.050093		
169		0			0.02	0.05	0.03	0.011	0.03	0.05	0.1	0.1	0.01	0.04	0.022	0.02	0.02				
170	0.1		0.2	0.06		0.04	0.1	0.1	0.05	0.05	0.1	0.1	0.05	0.1	0.1	0.1	0.1	0.1			
171	0												0.1	0.1	0.1		0.1	0.1	0.1	0.2	
172		0.03																			
173		0.2		0.2	0	0.1		0		0.2	0.2	0.03	0.2	0.1	0.1	0.2	0.3	0.3	0.3	0.2	
