id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
59			22.83	11.11	12.1	5.2	4.43	3.57	3.64	13.06	3.56	10.58	12.32	8.6	6.86	7.3	18.93	24.44	19.59	12.31	10.24
60			37.9	27.97	21.79	14.71	8.79	2.99	3.29	7.31	3.36	7.55	10.01	6.06	6.48	7.82	12.35	10.44	12.89	7.91	5.15
61			23.03	15.98	12.08	8.74	3.31	1.89	1.25	1.25	1.25	1.25	1.25	1.25	10.43	20.56	24.8	32.8	17.91	11.4	7.93
62			24.7	14.45	8.98	12.5	7.27	6.41	22.23	57.45	11.18	26.01	14.14	7.69	9.21	5.45	7.06	5.35	4.54	4.47	3.56
63			13.13	8.83	6.27	4.92	3.77	3.18	4.05	11.07	2.93	9.32	6.67	3.99	3.39	4.14	9.59	20.35	12.5	7.94	5.22
64			21.68	12.29	7.64	6.46	5.08	4.13	3.67	14.74	8.2	18.77	15.14	8.12	6.43	7.25	10.17	9.3	8.5	5.27	4.22
65			12.7	9.45	6.01	5.03	3.63	2.54	3.48	12.02	3.4	7	5.1	2.85	3.09	3.22	5.11	6.43	5.35	5.31	5.46
66																50	27.44	32.82	28.17	55.43	36.86
67										86.6	17.98	64.48	52.37	31.5	25.31	19	27.29	9.66	9.96	8.34	7.7
68	28.11	23.27	20.27	11.07	7.67	10.27	8.65	4.5	9.26	18.9	13.14	22.8	33.28	19.35	24.65	31.09	20.3	19.43	18.15	13.19	8.89
69	6.08	5.26	7.16	6.18	4.88	5.64	3.49	3.11	4.99	20.75	9.9	19.3	23.63	16.67	13.8	8.48	13.07	10.9	11.9	13.79	12.38
70	7.88	22.08	19.04	19.43	19.09	10.23	10.06	9.59	16.85	28.3	7.61	12.13	6.61	6.05	6.75	5.23	12.33	11.53	10.3	11.11	6.44
71	8.76	15.54	22.29	15.79	14.33	6.99	4.92	3.46	2.23	5.06	5.06	5.06	5.06	5.06	5.06	15.72	17.8	29.34	32.81	29.73	25.18
72	8.72	6.92	10.56	7.13	5.57	3.62	3.67	2.28	2.48	9.41	3.33	8.46	9.09	4.46	5.83	6.15	8.08	9.35	10	6.29	3.86
73	8.07	10.2	19.36	15.38	8.5	5.45	3.51	3.51	2.88	8.8	4.01	8.91	11.78	6.85	7.77	5.97	10.57	19.83	15.12	17.7	11.22
74	10.52	11.78	19.88	9.85	7.83	2.67	2.84	1.62	2.26	9.12	2.88	8.67	7.11	4.8	14.62	12.89	10.19	12.82	14.2	5.24	5.66
75	5.47	5.75	9.85	7.26	5.55	7.87	6.24	7.77	20.05	20.43	4.82	11.32	12.1	6.88	6.19	5.81	12.53	25.02	13.36	9.76	6.31
76	7.79	7.74	10.97	9.48	7.56	5.02	5.2	4.45	4.78	13.2	4.01	7.21	10.36	9.76	8.43	10.63	21.37	26.59	22.1	19.9	12.64
77	5.15	9.12	12.44	9.63	7.17	4.39	4.5	2.79	2.93	8.35	4.17	9.24	14.06	10.85	11.98	16.93	7.67	9.08	11.26	9.38	4.5
78	12.68	14.66	24.3	15.25	8.05	5.12	4.1	4.43	5	11.55	8.6	14.67	19.4	14.13	6.99	6.27	8.29	10.93	8.63	8.07	4.33
79	14.95	12.37	15.91	13.86	8.35	6.12	4.57	3.85	8.51	20.9	3.68	7.35	10.54	5.44	4.47	5.49	6.75	9	7.89	6.07	4.08
80	6.87	6.59	8.21	6.04	4.64	4.92	3.98	2.4	2.51	11.24	2.24	5.64	8.41	3.67	3.15	3.15	5.15	7.65	3.9	3.13	1.9
81	13.8	10.23	12.06	9.34	8.6	6.86	8.38	5.08	4.67	23.01	7.73	21.35	18.85	17.65	11.11	6.27	7.49	7.77	7.95	4.08	2.89
82	14	11.99	15.82	11.36	10.02	8.01	8.1	5.41	13.69	32.56	13.5	26.15	51.1	42.95	40.41	39.56	37.28	52.3	53.87	60.27	39.55
83	9.46	15.29	21.64	18.78	19.21	5.93	4.81	3.33	6.61	22.25	15.55	35.12	57.2	14.22	11.53	7.61	14.97	4.25	3.38	4.63	3.23
84	9	8.87	15.25	10.42	6.42	6.66	4.94	3.81	3.56	11.2	3.14	15.35	17.3	9.64	12.51	7.49	11.95	7.06	8.72	9.83	4.98
85	10.63	10.59	15.64	12.36	11.09	7.23	6.32	3.82	12.75	17	5.23	8.7	9.41	4.13	4.2	6.15	5.82	10.25	7.26	4.18	2.48
86	6.24	9.48	15.04	5.68	4.65	4.95	4.87	4.55	4.48	9.75	3.73	5.46	4.82	3.25	3.16	2.92	4.94	6.91	6.84	8.11	8.39
87	14.44	7.38	11.09	8.67	6.72	5.17	4.15	2.44	4.34	11.11	4.06	7.07	7.86	9.55	9.31	7.06	8.11	15.56	12.21	8.55	4.84
88			19.86	13.26	16.67	10.02	10.72	4.33	5.24	16.15	5.14	8.56	7.06	4.68	4.17	4.7	6.17	8.92	10.36	16.67	5.61
89	4.9	5	8.31	6.91	4.41	4.24	3.62	1.88	2.01	7.72	3.64	3.64	3.64	3.64	3.64	4.04	4.64	8.97	7.93	6.68	5.06
90	4.52	4.61	8.69	6.24	4.68	3.85	2.86	3.57	5.74	18.65	5.02	14.86	18.39	15.25	11.5	12.76	15.82	21.4	19.52	15.96	9.48
91	9.37	11.07	16.49	10.09	12.89	15.17	7.06	4.13	5.82	16.28	7.66	9.96	8.49	4.89	6.22	6.35	9.44	31.7	21.2	11.03	7.6
92	9.56	18.76	25.19	15.99	13.99	15.19	12.39	8.48	8.5	12.81	4.25	11.18	12.44	6.13	9.48	20.9	31.28	33.49	42.05	43.16	15.88
93	5.13	5.3	17.34	10.21	7.97	6.33	6.16	4.01	5.74	11.39	3.03	8.17	9.48	4.75	5.24	5.96	7.13	29.98	16.57	23.5	12.47
94	5.78	6.67	12.71	7.78	5.59	3.03	1.8	1.62	2.79	18.44	5.19	7.48	4.96	2.95	2.9	3.55	7.5	10.6	11.96	8.38	5.52
95	4.42	6.1	12.45	12.41	11.97	9.33	2.5	1.47	1.9	4.44	4.44	8.21	11.26	8.64	7.83	4.58	6.97	9.58	10.98	7.37	2.69
96	4.18	5.39	8.3	7.18	5	6.66	4.79	3.25	5.23	12.66	3.78	9.46	12.63	7.96	4.9	5.39	8.94	7.41	6.28	10.18	6.6
97	11.72	13.7	14.17	10.25	7.39	5.16	3.1	1.68	2.01	11.05	3.02	9.47	10.81	12.27	10.74	14.01	4.84	8.6	7.96	6.12	2.7
98	5.66	5.4	18.75	14.3	9.04	4.14	3.27	2.22	2.56	8.29	2.56	9.49	8.51	5.03	5.76	5.33	5.48	8.5	12.23	8.84	3.93
99	6.56	6.25	12.99	9.38	8.83	6.68	7.16	4.59	6.03	42.8	17.38	39.59	43.82	20.46	34.8	38.69	49.44	57.43	59.5	66.45	25.15
100	12.02	13.38	17.45	11.23	9.8	6.7	5.62	3.79	4.9	14.86	5.23	13.58	8.61	4.63	4.98	4.33	7.08	11.51	11.68	6.12	3.65
101	9.15	11.84	17.65	13.06	9.86	7.12	6.07	5.5	6.48	14.6	6.9	8.52	5.64	4.93	4.36	5.91	12.21	22	7.9	4.89	4.95
102	6.83	13.4	28.07	21.97	18.82	15.27	6.02	2.63	2	2	2	9.92	6.44	5.11	7.61	4.89	7.58	6.79	5.26	3.38	2.31
103	6.27	6.2	16.19	17	8.68	4.3	2.46	1.4	2.31	6.66	2.17	4.14	7	3.87	3.87	3.3	5.49	7.1	8.88	6.84	3.46
104	13.8	18.08	17.98	12.2	10.8	11.56	8	4.5	3.94	8.61	2.56	17.02	15.91	7.08	11.89	12.55	13.32	16.98	14.9	9.85	6.29
105	4.5	5.58	7.57	4.98	4.81	5.34	4.15	2.95	3.26	12.2	4.14	5.66	5.02	3.27	3.14	2.53	2.53	12.17	7.9	4.02	2.88
106	5.18	5.7	8.87	6.96	4.78	3.96	3.21	2.69	3.57	7.97	3.21	13.13	11.46	4.43	3.79	4.93	6.51	7.3	6.92	5.07	2.96
107	4.41	6.53	11.08	7.51	5.56	4.15	3.15	3.23	3.8	8.89	3.7	8.27	14.7	5.2	5.45	9.22	9.96	15.08	11.36	7.92	3.95
108	5.21	5.96	9.53	7.27	5.78	3.55	3.95	2.56	3.4	9.11	4.07	8.4	10.24	6.09	6.37	6.02	12.42	19.83	15.42	11.41	6.9
109	10.98	15.08	18.22	8.37	7.54	4.96	5.09	3.35	7.31	15.08	12.46	16.94	15.55	13.87	11.75	15	15.87	16.94	17.22	20.17	14.03
110	7.19	9.01	18.74	13.6	9.63	5.7	3.81	4.56	4.23	8.74	3.97	13.22	12.31	6.55	9.48	19.2	19.14	66.69	38.99	36.68	18.24
111	4.06	4.52	8.29	6.71	6.95	11.49	4.99	4.89	17.1	41.63	9.46	21.73	37	11.67	10.01	6.36	12.58	8.29	7.31	8.53	6.07
112	7.49	6.11	7.79	6.22	4.57	3.33	2.64	1.16	0.87	0.87	0.87	7.41	6.59	6.34	6.8	6.63	9.03	12.07	11.8	6.78	4.48
113	7.45	6.77	11.27	8.41	7.46	6.93	4.75	4.29	5.67	11.79	4.74	9.56	11.88	7.92	6.8	10.14	11.51	18.98	10.86	5.28	3.31
114	4.43	5.57	18	9.91	8.08	6.89	5.71	3.19	2.83	15.93	5.78	12.33	9.18	7.62	7.94	14.08	14.4	27.68	18.68	10.49	9.87
115	5.22	7.39	10.11	5.55	3.71	5.07	3.54	2.65	6.27	10.89	3.19	11.17	10.22	4.75	4.05	4.16	5.97	10.18	12.82	10.6	2.53
116	5.02	5.61	12.91	8.8	6	6.27	3.9	2.82	4.13	15.26	3.25	8.03	6.23	4.06	5.4	4.28	7.37	9.45	16.37	13.8	10.44
117	5.51	5.71	9.09	5.61	6.24	3.03	2.92	2.48	4.83	4.83	4.83	19.7	24.3	13.4	19.49	26.99	15.79	14.74	15.27	4.94	1.87
118	8.21	24.83	38.7	12.35	11.07	6.81	4.9	2.39	6.24	13.5	2.84	14.28	8.26	5.35	7.35	5.7	8.65	11.7	9.08	12.77	7.49
119	12.23	11.09	17.84	20.72	17.37	15.27	15.61	20.7	24.89	34.68	34.41	60.4	60.4	53	68	101.99	63.15	72.62	76.15	101.79	73.96
120	8.75	13.19	35.55	17.73	22.22	3.87	3.11	1.98	3.5	12.41	4.96	18.53	13.73	6.37	6.94	5.8	11.78	9.12	6.93	7.35	4.87
121	10.08	10.87	12.83	13.57	11.5	11.98	14.36	10.17	9.43	23.03	5.85	10.39	16.59	9.75	6.63	6.89	10.21	16.7	9.84	9.2	5.18
122	6.21	5.99	11.72	9.15	6.24	4.98	4	2.21	2.24	11.77	6.45	10.65	9.28	6.23	6.2	9.36	13.67	9.05	5.81	5.07	3.13
123	6.59	5.73	8.07	4	4.79	4.16	2.93	2.34	2.82	9.4	7.1	14.14	13.1	6.93	7.14	6.06	7.63	13.32	11.32	17.85	8.66
124	6.25	14.78	14.72	11.44	7.64	5.01	4.39	3.54	3.75	12.19	4.33	9.58	14.11	4.2	3.43	3.99	13.42	19.05	15.36	10.83	7.56
125	7.16	9.37	11.3	9.51	5.98	4.81	3.63	2.36	5.13	14.38	3.48	9.99	7.15	3.84	4.32	5.22	7.67	12.05	8.09	6.66	4.38
126	4.58	4.16	7.12	6.5	7.4	10.43	5.18	5.99	12.4	20.93	8.4	22.98	27.54	19.99	17.98	25.41	30.3	29.98	27	16.12	12.76
127	6.46	10.32	12.34	8.09	6.57	5.03	5.19	3.63	5.8	10.3	4.45	10.72	17.37	8.96	6.98	9.38	10	13.22	10.55	8.25	5.81
128	5.1	7.18	16.23	9.36	6.37	3.83	3.73	3.55	4.65	14.81	4.91	17.73	21.15	12.22	18.62	10.02	10.1	10.08	3.79	3.52	2.56
129	6.7	10.13	10.7	10.25	6.25	5.07	3.52	2.48	4.6	11.85	5.34	8.35	8.49	4.96	5.18	11.45	13.65	10.7	15.01	15.85	9.13
130	3.38	4.31	16.96	7.89	9.49	10.6	8.16	2.94	5.81	12.41	4.33	8.22	8.6	6.89	4.93	4.94	8.54	12.37	11.07	8.13	5.12
131	7.89	12.1	25.56	18.21	25.07	18.9	15.27	2.85	3.1	8.81	4.05	9.02	10.41	5.75	6.68	25.44	38.5	42.1	21.23	11.75	9.34
